Year,State,Election,Election_Type,Row_Type,Incumbent,party,candidate,votes,percentage
2018,Arizona,"United States Senate election in Arizona, 2018",General,Winning,False,Democratic Party (United States),Kyrsten Sinema,"1,191,100",49.96%
2018,Arizona,"United States Senate election in Arizona, 2018",General,Candidate,False,Republican Party (United States),Martha McSally,"1,135,200",47.61%
2018,Arizona,"United States Senate election in Arizona, 2018",General,Candidate,False,Green Party (United States),Angela Green,"57,442",2.41%
2018,Arizona,"United States Senate election in Arizona, 2018",General,Write-in,False,,,566,0.02%
2018,Arizona,"United States Senate election in Arizona, 2018",General,Total,False,,,"2,384,308",100.00%
2018,California,2018 United States Senate election in California,General,Winning,True,Democratic Party (United States),Dianne Feinstein,"6,019,422",54.16%
2018,California,2018 United States Senate election in California,General,Candidate,False,Democratic Party (United States),Kevin de León,"5,093,942",45.84%
2018,California,2018 United States Senate election in California,General,Total,False,,,"11,113,364",100.00%
2018,Connecticut,"United States Senate election in Connecticut, 2018",General,Winning,True,Democratic Party (United States),Chris Murphy,"787,685",56.80%
2018,Connecticut,"United States Senate election in Connecticut, 2018",General,Candidate,True,Working Families Party,Chris Murphy,"37,894",2.73%
2018,Connecticut,"United States Senate election in Connecticut, 2018",General,Candidate,False,Republican Party (United States),Matthew Corey,"545,717",39.35%
2018,Connecticut,"United States Senate election in Connecticut, 2018",General,Candidate,False,Libertarian Party (United States),Richard Lion,"8,838",0.64%
2018,Connecticut,"United States Senate election in Connecticut, 2018",General,Candidate,False,Green Party (United States),Jeff Russell,"6,618",0.48%
2018,Connecticut,"United States Senate election in Connecticut, 2018",General,Write-in,False,,,88,0.00%
2018,Connecticut,"United States Senate election in Connecticut, 2018",General,Total,False,,,"1,386,840",100.00%
2018,Delaware,"United States Senate election in Delaware, 2018",General,Winning,True,Democratic Party (United States),Tom Carper,"217,385",59.95%
2018,Delaware,"United States Senate election in Delaware, 2018",General,Candidate,False,Republican Party (United States),Rob Arlett,"137,127",37.81%
2018,Delaware,"United States Senate election in Delaware, 2018",General,Candidate,False,Green Party (United States),Demitri Theodoropoulos,"4,170",1.15%
2018,Delaware,"United States Senate election in Delaware, 2018",General,Candidate,False,Libertarian Party (United States),Nadine Frost,"3,910",1.09%
2018,Delaware,"United States Senate election in Delaware, 2018",General,Total,False,,,"362,592",100.00%
2018,Florida,"United States Senate election in Florida, 2018",General,Winning,False,Republican Party (United States),Rick Scott,"4,099,505",50.05%
2018,Florida,"United States Senate election in Florida, 2018",General,Candidate,True,Democratic Party (United States),Bill Nelson,"4,089,472",49.93%
2018,Florida,"United States Senate election in Florida, 2018",General,Write-in,False,,,"1,028",0.01%
2018,Florida,"United States Senate election in Florida, 2018",General,Total,False,,,"8,190,005",100.00%
2018,Hawaii,"United States Senate election in Hawaii, 2018",General,Winning,True,Democratic Party (United States),Mazie Hirono,"276,316",71.15%
2018,Hawaii,"United States Senate election in Hawaii, 2018",General,Candidate,False,Republican Party (United States),Ron Curtis,"112,035",28.85%
2018,Hawaii,"United States Senate election in Hawaii, 2018",General,Total,False,,,"388,351",100%
2018,Indiana,"United States Senate election in Indiana, 2018",General,Winning,False,Republican Party (United States),Mike Braun,"1,158,000",50.73%
2018,Indiana,"United States Senate election in Indiana, 2018",General,Candidate,True,Democratic Party (United States),Joe Donnelly,"1,023,553",44.84%
2018,Indiana,"United States Senate election in Indiana, 2018",General,Candidate,False,Libertarian Party (United States),Lucy Brenton,"100,942",4.42%
2018,Indiana,"United States Senate election in Indiana, 2018",General,Write-in,False,,,70,<0.00%
2018,Indiana,"United States Senate election in Indiana, 2018",General,Total,False,,,"2,282,565",100.00%
2018,Maine,"United States Senate election in Maine, 2018",General,Winning,True,Independent politician,Angus King,"344,575",54.31%
2018,Maine,"United States Senate election in Maine, 2018",General,Candidate,False,Republican Party (United States),Eric Brakey,"223,502",35.23%
2018,Maine,"United States Senate election in Maine, 2018",General,Candidate,False,Democratic Party (United States),Zak Ringelstein,"66,268",10.45%
2018,Maine,"United States Senate election in Maine, 2018",General,Write-in,False,,,64,0.01%
2018,Maine,"United States Senate election in Maine, 2018",General,Total,False,,,"634,409",100.00%
2018,Maryland,2018 United States Senate election in Maryland,General,Winning,True,Democratic Party (United States),Ben Cardin,"1,491,614",64.86%
2018,Maryland,2018 United States Senate election in Maryland,General,Candidate,False,Republican Party (United States),Tony Campbell,"697,017",30.31%
2018,Maryland,2018 United States Senate election in Maryland,General,Candidate,False,Independent politician,Neal Simon,"85,964",3.74%
2018,Maryland,2018 United States Senate election in Maryland,General,Candidate,False,Libertarian Party (United States),Arvin Vohra,"22,943",1.00%
2018,Maryland,2018 United States Senate election in Maryland,General,Write-in,False,,,"2,351",0.10%
2018,Maryland,2018 United States Senate election in Maryland,General,Total,False,,,"2,299,889",100.00%
2018,Massachusetts,"United States Senate election in Massachusetts, 2018",General,Winning,True,Democratic Party (United States),Elizabeth Warren,"1,633,371",60.34%
2018,Massachusetts,"United States Senate election in Massachusetts, 2018",General,Candidate,False,Republican Party (United States),Geoff Diehl,"979,210",36.17%
2018,Massachusetts,"United States Senate election in Massachusetts, 2018",General,Candidate,False,Independent politician,Shiva Ayyadurai,"91,710",3.39%
2018,Massachusetts,"United States Senate election in Massachusetts, 2018",General,Write-in,False,,,"2,799",0.10%
2018,Massachusetts,"United States Senate election in Massachusetts, 2018",General,Total,False,,,"2,707,090",100.00%
2018,Michigan,2018 United States Senate election in Michigan,General,Winning,True,Democratic Party (United States),Debbie Stabenow,"2,214,478",52.26%
2018,Michigan,2018 United States Senate election in Michigan,General,Candidate,False,Republican Party (United States),John James,"1,938,818",45.76%
2018,Michigan,2018 United States Senate election in Michigan,General,Candidate,False,Green Party (United States),Marcia Squier,"40,204",0.95%
2018,Michigan,2018 United States Senate election in Michigan,General,Candidate,False,US Taxpayers Party,George Huffman III,"27,251",0.65%
2018,Michigan,2018 United States Senate election in Michigan,General,Candidate,False,Natural Law Party (United States),John Howard Wilhelm,"16,502",0.39%
2018,Michigan,2018 United States Senate election in Michigan,General,Write-in,False,,,18,<0.01%
2018,Michigan,2018 United States Senate election in Michigan,General,Total,False,,,"4,237,271",100.00%
2018,Minnesota,"United States Senate election in Minnesota, 2018",General,Winning,True,Minnesota Democratic-Farmer-Labor Party,Amy Klobuchar,"1,566,174",60.31%
2018,Minnesota,"United States Senate election in Minnesota, 2018",General,Candidate,False,Republican Party of Minnesota,Jim Newberger,"940,437",36.21%
2018,Minnesota,"United States Senate election in Minnesota, 2018",General,Candidate,False,Legal Marijuana Now Party,Dennis Schuller,"66,236",2.55%
2018,Minnesota,"United States Senate election in Minnesota, 2018",General,Candidate,False,Green Party of Minnesota,Paula Overby,"23,101",0.89%
2018,Minnesota,"United States Senate election in Minnesota, 2018",General,Write-in,False,,,931,0.04%
2018,Minnesota,"United States Senate election in Minnesota, 2018",General,Total,False,,,"2,596,879",100.00%
2018,Minnesota (special),"United States Senate special election in Minnesota, 2018",General,Winning,True,Minnesota Democratic-Farmer-Labor Party,Tina Smith,"1,370,540",52.97%
2018,Minnesota (special),"United States Senate special election in Minnesota, 2018",General,Candidate,False,Republican Party (United States),Karin Housley,"1,095,777",42.35%
2018,Minnesota (special),"United States Senate special election in Minnesota, 2018",General,Candidate,False,Legal Marijuana Now Party,Sarah Wellington,"95,614",3.70%
2018,Minnesota (special),"United States Senate special election in Minnesota, 2018",General,Candidate,False,Independent politician,Jerry Trooien,"24,324",0.94%
2018,Minnesota (special),"United States Senate special election in Minnesota, 2018",General,Write-in,False,,,"1,101",0.04%
2018,Minnesota (special),"United States Senate special election in Minnesota, 2018",General,Total,False,,,"2,587,356",100.0%
2018,Mississippi,2018 United States Senate election in Mississippi,General,Winning,True,Republican Party (United States),Roger Wicker,"547,619",58.49%
2018,Mississippi,2018 United States Senate election in Mississippi,General,Candidate,False,Democratic Party (United States),David Baria,"369,567",39.47%
2018,Mississippi,2018 United States Senate election in Mississippi,General,Candidate,False,Libertarian Party (United States),Danny Bedwell,"12,981",1.39%
2018,Mississippi,2018 United States Senate election in Mississippi,General,Candidate,False,Reform Party (United States),Shawn O'Hara,"6,048",0.65%
2018,Mississippi,2018 United States Senate election in Mississippi,General,Total,False,,,"936,215",100.00%
2018,Mississippi (special),2018 United States Senate special election in Mississippi,General,Total,False,,,"945,467",100.00%
2018,Mississippi (special),2018 United States Senate special runoff election in Mississippi,General,Total,False,,,"907,588",100.00%
2018,Missouri,"United States Senate election in Missouri, 2018",General,Winning,False,Republican Party (United States),Josh Hawley,"1,254,927",51.38%
2018,Missouri,"United States Senate election in Missouri, 2018",General,Candidate,True,Democratic Party (United States),Claire McCaskill,"1,112,935",45.57%
2018,Missouri,"United States Senate election in Missouri, 2018",General,Candidate,False,Independent (United States),Craig O'Dear,"34,398",1.41%
2018,Missouri,"United States Senate election in Missouri, 2018",General,Candidate,False,Libertarian Party (United States),Japheth Campbell,"27,316",1.12%
2018,Missouri,"United States Senate election in Missouri, 2018",General,Candidate,False,Green Party (United States),Jo Crain,"12,706",0.52%
2018,Missouri,"United States Senate election in Missouri, 2018",General,Write-in,False,,,7,0.00%
2018,Missouri,"United States Senate election in Missouri, 2018",General,Total,False,,,"2,442,289",100.00%
2018,Montana,"United States Senate election in Montana, 2018",General,Winning,True,Democratic Party (United States),Jon Tester,"253,876",50.33%
2018,Montana,"United States Senate election in Montana, 2018",General,Candidate,False,Republican Party (United States),Matt Rosendale,"235,963",46.78%
2018,Montana,"United States Senate election in Montana, 2018",General,Candidate,False,Libertarian Party (United States),Rick Breckenridge,"14,545",2.88%
2018,Montana,"United States Senate election in Montana, 2018",General,Total,False,,,"504,384",100.00%
2018,Nebraska,2018 United States Senate election in Nebraska,General,Winning,False,Republican Party (United States),Deb Fischer (inc.),"403,151",57.69%
2018,Nebraska,2018 United States Senate election in Nebraska,General,Candidate,False,Democratic Party (United States),Jane Raybould,"269,917",38.62%
2018,Nebraska,2018 United States Senate election in Nebraska,General,Candidate,False,Libertarian Party (United States),Jim Schultz,"25,349",3.63
2018,Nebraska,2018 United States Senate election in Nebraska,General,Write-in,False,,,466,0.07%
2018,Nebraska,2018 United States Senate election in Nebraska,General,Total,False,,,"698,883",100.00%
2018,Nevada,"United States Senate election in Nevada, 2018",General,Winning,False,Democratic Party (United States),Jacky Rosen,"490,071",50.41%
2018,Nevada,"United States Senate election in Nevada, 2018",General,Candidate,True,Republican Party (United States),Dean Heller,"441,202",45.38%
2018,Nevada,"United States Senate election in Nevada, 2018",General,Candidate,False,Independent politician,Barry Michaels,"9,269",0.95%
2018,Nevada,"United States Senate election in Nevada, 2018",General,Candidate,False,Libertarian Party (United States),Tim Hagan,"9,196",0.95%
2018,Nevada,"United States Senate election in Nevada, 2018",General,Candidate,False,Independent American Party of Nevada,Kamau Bakari,"7,091",0.73%
2018,Nevada,"United States Senate election in Nevada, 2018",General,Total,False,,,"972,132",100.00%
2018,New Jersey,"United States Senate election in New Jersey, 2018",General,Winning,True,Democratic Party (United States),Bob Menendez,"1,711,654",54.01%
2018,New Jersey,"United States Senate election in New Jersey, 2018",General,Candidate,False,Republican Party (United States),Bob Hugin,"1,357,355",42.83%
2018,New Jersey,"United States Senate election in New Jersey, 2018",General,Candidate,False,Green Party (United States),Madelyn Hoffman,"25,150",0.79%
2018,New Jersey,"United States Senate election in New Jersey, 2018",General,Candidate,False,Libertarian Party (United States),Murray Sabrin,"21,212",0.67%
2018,New Jersey,"United States Senate election in New Jersey, 2018",General,Candidate,False,Independent politician,Natalie Rivera,"19,897",0.63%
2018,New Jersey,"United States Senate election in New Jersey, 2018",General,Candidate,False,Independent politician,Tricia Flanagan,"16,101",0.51%
2018,New Jersey,"United States Senate election in New Jersey, 2018",General,Candidate,False,Independent politician,Kevin Kimple,"9,087",0.29%
2018,New Jersey,"United States Senate election in New Jersey, 2018",General,Candidate,False,Independent politician,Hank Schroeder,"8,854",0.28%
2018,New Jersey,"United States Senate election in New Jersey, 2018",General,Total,False,,,"3,169,310",100%
2018,New Mexico,2018 United States Senate election in New Mexico,General,Winning,True,Democratic Party (United States),Martin Heinrich,"376,998",54.09%
2018,New Mexico,2018 United States Senate election in New Mexico,General,Candidate,False,Republican Party (United States),Mick Rich,"212,813",30.53%
2018,New Mexico,2018 United States Senate election in New Mexico,General,Candidate,False,Libertarian Party (United States),Gary Johnson,"107,201",15.38%
2018,New Mexico,2018 United States Senate election in New Mexico,General,Total,False,,,"697,012",100.00%
2018,New York,"United States Senate election in New York, 2018",General,Winning,True,Democratic Party (United States),Kirsten Gillibrand,"3,755,489",61.98%
2018,New York,"United States Senate election in New York, 2018",General,Candidate,True,Working Families Party,Kirsten Gillibrand,"160,128",2.64%
2018,New York,"United States Senate election in New York, 2018",General,Candidate,True,Independence Party of New York,Kirsten Gillibrand,"99,325",1.64%
2018,New York,"United States Senate election in New York, 2018",General,Candidate,True,Women's Equality Party (New York),Kirsten Gillibrand,"41,989",0.69%
2018,New York,"United States Senate election in New York, 2018",General,Candidate,False,Republican Party (United States),Chele Chiavacci Farley,"1,730,439",28.56%
2018,New York,"United States Senate election in New York, 2018",General,Candidate,False,Conservative Party of New York State,Chele Chiavacci Farley,"246,171",4.06%
2018,New York,"United States Senate election in New York, 2018",General,Candidate,False,Reform Party of New York State,Chele Chiavacci Farley,"21,610",0.36%
2018,New York,"United States Senate election in New York, 2018",General,Total,False,,,"6,059,023",100.00%
2018,North Dakota,"United States Senate election in North Dakota, 2018",General,Winning,False,Republican Party (United States),Kevin Cramer,"179,720",55.11%
2018,North Dakota,"United States Senate election in North Dakota, 2018",General,Candidate,True,North Dakota Democratic-NPL Party,Heidi Heitkamp,"144,376",44.27%
2018,North Dakota,"United States Senate election in North Dakota, 2018",General,Write-in,False,,,"2,042",0.63%
2018,North Dakota,"United States Senate election in North Dakota, 2018",General,Total,False,,,"326,138",100.00%
2018,Ohio,"United States Senate election in Ohio, 2018",General,Winning,True,Democratic Party (United States),Sherrod Brown,"2,358,508",53.40%
2018,Ohio,"United States Senate election in Ohio, 2018",General,Candidate,False,Republican Party (United States),Jim Renacci,"2,057,559",46.58%
2018,Ohio,"United States Senate election in Ohio, 2018",General,Write-in,False,,,"1,017",0.02%
2018,Ohio,"United States Senate election in Ohio, 2018",General,Total,False,,,"4,417,084",100.00%
2018,Pennsylvania,"United States Senate election in Pennsylvania, 2018",General,Winning,True,Democratic Party (United States),Bob Casey Jr.,"2,792,437",55.73%
2018,Pennsylvania,"United States Senate election in Pennsylvania, 2018",General,Candidate,False,Republican Party (United States),Lou Barletta,"2,134,848",42.60%
2018,Pennsylvania,"United States Senate election in Pennsylvania, 2018",General,Candidate,False,Libertarian Party (United States),Dale Kerns,"50,907",1.02%
2018,Pennsylvania,"United States Senate election in Pennsylvania, 2018",General,Candidate,False,Green Party (United States),Neal Gale,"31,208",0.62%
2018,Pennsylvania,"United States Senate election in Pennsylvania, 2018",General,Write-in,False,,,"1,568",0.03%
2018,Pennsylvania,"United States Senate election in Pennsylvania, 2018",General,Total,False,,,"5,010,968",100.0%
2018,Rhode Island,"United States Senate election in Rhode Island, 2018",General,Winning,True,Democratic Party (United States),Sheldon Whitehouse,"231,477",61.44%
2018,Rhode Island,"United States Senate election in Rhode Island, 2018",General,Candidate,False,Republican Party (United States),Robert Flanders,"144,421",38.33%
2018,Rhode Island,"United States Senate election in Rhode Island, 2018",General,Write-in,False,,,840,0.22%
2018,Rhode Island,"United States Senate election in Rhode Island, 2018",General,Total,False,,,"376,738",100.00%
2018,Tennessee,2018 United States Senate election in Tennessee,General,Winning,False,Republican Party (United States),Marsha Blackburn,"1,227,483",54.71%
2018,Tennessee,2018 United States Senate election in Tennessee,General,Candidate,False,Democratic Party (United States),Phil Bredesen,"985,450",43.92%
2018,Tennessee,2018 United States Senate election in Tennessee,General,Candidate,False,Independent (United States),Trudy Austin,"9,455",0.42%
2018,Tennessee,2018 United States Senate election in Tennessee,General,Candidate,False,Independent (United States),Dean Hill,"8,717",0.39%
2018,Tennessee,2018 United States Senate election in Tennessee,General,Candidate,False,Independent (United States),Kris L. Todd,"5,084",0.23%
