Year,State,Election,Election_Type,Row_Type,Incumbent,candidate,party,votes,percentage
1922,Arizona,"United States Senate election in Arizona, 1922",General,Winning,True,Henry F. Ashurst,Democratic Party (United States),"39,722",65.03%
1922,Arizona,"United States Senate election in Arizona, 1922",General,Candidate,False,James H. McClintock,Republican Party (United States),"21,358",34.97%
1922,California,1922 United States Senate election in California,General,Winning,True,Hiram Johnson,Republican Party (United States),"564,422",62.17%
1922,California,1922 United States Senate election in California,General,Candidate,False,William J. Pearson,Democratic Party (United States),"215,748",23.76%
1922,California,1922 United States Senate election in California,General,Candidate,False,Henry Clay Needham,Prohibition Party (United States),"70,748",7.79%
1922,California,1922 United States Senate election in California,General,Candidate,False,Upton Sinclair,Socialist Party USA,"56,982",6.28%
1922,California,1922 United States Senate election in California,General,Total,False,,,"907,900",100.00%
1922,Connecticut,1922 U.S. Senate election in Connecticut,General,Winning,False,George P. McLean (inc.),Republican Party (US),"169,524",52.34%
1922,Connecticut,1922 U.S. Senate election in Connecticut,General,Candidate,False,Thomas J. Spellacy,Democratic Party (US),"147,276",45.47%
1922,Connecticut,1922 U.S. Senate election in Connecticut,General,Candidate,False,Isadore Polsky,Socialist Party of America,"5,274",1.63%
1922,Connecticut,1922 U.S. Senate election in Connecticut,General,Candidate,False,Isadore Polsky,Farmer–Labor Party,887,0.27%
1922,Connecticut,1922 U.S. Senate election in Connecticut,General,Candidate,False,George E. Carey,Independent (politician),945,0.29%
1922,Connecticut,1922 U.S. Senate election in Connecticut,General,Total,False,,,"323,906",100.00%
1922,Delaware (special),1922 U.S. Senate election in Delaware,General,Winning,False,Thomas F. Bayard Jr.,Democratic Party (United States),"37,304",49.81%
1922,Delaware (special),1922 U.S. Senate election in Delaware,General,Candidate,True,T. Coleman du Pont,Republican Party (United States),"36,979",49.38%
1922,Delaware (special),1922 U.S. Senate election in Delaware,General,Total,False,,,"74,891",100.00%
1922,Delaware (special),1922 U.S. Senate special election in Delaware,General,Winning,False,Thomas F. Bayard Jr.,Democratic Party (United States),"36,954",49.65%
1922,Delaware (special),1922 U.S. Senate special election in Delaware,General,Candidate,True,T. Coleman du Pont,Republican Party (United States),"36,894",49.57%
1922,Delaware (special),1922 U.S. Senate special election in Delaware,General,Total,False,,,"74,429",100.00%
