Year,State,Primary_Type,Poll_Source,Date,Date_Start,Date_End,Sample,MoE,Candidate,Party,Pct,Incumbent,Date_Original
2012,Texas,Republican Primary,DWBS,2011-06-04 to 2011-06-05,2011-06-04,2011-06-05,450,4.62,Elizabeth Ames Jones,R,4%,False,"June 4–5, 2011"
2012,Texas,Republican Primary,Public Policy Polling,2011-06-25 to 2011-06-27,2011-06-25,2011-06-27,400,4.9,Elizabeth Ames Jones,R,3%,False,"June 25–27, 2011"
2012,Texas,Republican Primary,Public Policy Polling,2011-01-14 to 2011-01-16,2011-01-14,2011-01-16,400,4.9,Craig James,R,6%,False,"January 14–16, 2011"
2012,Texas,Republican Primary,UoT,2011-02-11 to 2011-02-17,2011-02-11,2011-02-17,374,5.07,Craig James,R,2%,False,"February 11–17, 2011"
2012,Texas,Republican Primary,UoT,2011-05-11 to 2011-05-18,2011-05-11,2011-05-18,388,4.98,Craig James,R,1%,False,"May 11–18, 2011"
2012,Texas,Republican Primary,Texas Lyceum,2011-05-24 to 2011-05-31,2011-05-24,2011-05-31,147,8.08,Craig James,R,2%,False,"May 24–31, 2011"
2012,Texas,Republican Primary,Public Policy Polling,2011-09-15 to 2011-09-18,2011-09-15,2011-09-18,400,4.9,Craig James,R,7%,False,"September 15–18, 2011"
2012,Texas,Republican Primary,UoT,2011-10-19 to 2011-10-26,2011-10-19,2011-10-26,800,4.93,Craig James,R,2%,False,"October 19–26, 2011"
2012,Texas,Republican Primary,Public Policy Polling,2012-01-12 to 2012-01-15,2012-01-12,2012-01-15,559,4.2,Craig James,R,4%,False,"January 12–15, 2012"
2012,Texas,Republican Primary,UoT,2012-02-08 to 2012-02-15,2012-02-08,2012-02-15,366,5.12,Craig James,R,7%,False,"February 8–15, 2012"
2012,Texas,Republican Primary,Public Policy Polling,2012-04-19 to 2012-04-22,2012-04-19,2012-04-22,400,4.9,Craig James,R,7%,False,"April 19–22, 2012"
2012,Texas,Republican Primary,DWBS,2012-04-27 to 2012-04-30,2012-04-27,2012-04-30,400,4.5,Craig James,R,2%,False,"April 27–30, 2012"
2012,Texas,Republican Primary,UoT,2012-05,2012-05-01,2012-05-31,274,5.92,Craig James,R,4%,False,May 2012
2012,Texas,Republican Primary,People Calling People,2012-05-15 to 2012-05-16,2012-05-15,2012-05-16,557,4.2,Craig James,R,5%,False,"May 15–16, 2012"
2012,Texas,Republican Primary,Public Policy Polling,2012-05-22 to 2012-05-23,2012-05-22,2012-05-23,482,4.5,Craig James,R,5%,False,"May 22–23, 2012"
2012,Texas,Republican Primary,Public Policy Polling,2011-01-14 to 2011-01-16,2011-01-14,2011-01-16,400,4.9,Tom Leppert,R,3%,False,"January 14–16, 2011"
2012,Texas,Republican Primary,UoT,2011-05-11 to 2011-05-18,2011-05-11,2011-05-18,388,4.98,Tom Leppert,R,4%,False,"May 11–18, 2011"
2012,Texas,Republican Primary,Texas Lyceum,2011-05-24 to 2011-05-31,2011-05-24,2011-05-31,147,8.08,Tom Leppert,R,3%,False,"May 24–31, 2011"
2012,Texas,Republican Primary,Public Policy Polling,2011-09-15 to 2011-09-18,2011-09-15,2011-09-18,400,4.9,Tom Leppert,R,6%,False,"September 15–18, 2011"
2012,Texas,Republican Primary,UoT,2011-10-19 to 2011-10-26,2011-10-19,2011-10-26,800,4.93,Tom Leppert,R,5%,False,"October 19–26, 2011"
